PRIMKEY,COUNTRY,FIPSCODE,COWCODE,CONTCODE,SITENUM,NAME,lat,long,RES,RESINFO,LOCSOURCE,FIELDINFO,DISC,DISCPRES,PROD,PRODPRES,OTHERINFO,SOURCEINFO,VERSION
OF362PET,United States of Ameri,US,2,5,362,Northern Alaska,70.35,-146.87,PET,oil,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,oil field - no further information available,"Petroleum Economist, 2003",1.2
OF369PET,United States of Ameri,US,2,5,369,Western Gulf,30.17,-90.18,PET,gas,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,gas field - field could not be identified due to the high concentration in that area - no further information available,"Petroleum Economist, 2003",1.2
OF365PET,United States of Ameri,US,2,5,365,Los Angeles Basin,33.43,-117.89,PET,oil,"Earth Sciences and Resources Institute, 1995 - Beyer 1995 - Klett et al., 1997",1,1945,1,-9999,3,Huntington Beach field discovered in 1920,"Earth Sciences and Resources Institute, 1995 - Beyer, 1995",1.2
OF364PET,United States of Ameri,US,2,5,364,Central California OSC,34.54,-120.73,PET,oil,"Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199",3,1981,1,-9999,3,Pt. Arguella field found in 1981,"Earth Sciences and Resources Institute, 1995",1.2
OF363PET,United States of Ameri,US,2,5,363,Southern Alaska,60.72,-151.44,PET,oil and gas,"Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199",1,1962,1,1967,1,Middle Ground Shoal field discovered in 1962 and McArthur River field in 1965 - both fields and the Trading Bay field came on stre,"Earth Sciences and Resources Institute, 1995 - Kenai Peninsula Borough-Community and Economic Development Division,",1.2
OF361PET,United States of Ameri,US,2,5,361,Beaufort Shelf OSC,70.58,-148.56,PET,oil,"Petroleum Economist, 2003 - Klett et al., 1997",1,1978,1,1987,1,Endicott field discovered in 1978 and commenced production in 1987,"University of Conneticut et al., 1995 - Petroleum Economist, 2003",1.2
OF373PET,United States of Ameri,US,2,5,373,Louisiana-Mississippi Salt Ba,30.34,-88.00,PET,gas,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,gas fields - fields could not be identified due to the high concentration in that area - no further information available,"Petroleum Economist, 2003",1.2
OF372PET,United States of Ameri,US,2,5,372,Gulf Mesozoic OCS,29.80,-88.11,PET,gas,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,gas fields - fields could not be identified due to the high concentration in that area - no further information available,"Petroleum Economist, 2003",1.2
OF370PET,United States of Ameri,US,2,5,370,Western Gulf,29.75,-89.28,PET,oil and gas,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,oil and gas fields - fields could not be identified due to the high concentration in that area - no further information available,"Petroleum Economist, 2003",1.2
OF368PET,United States of Ameri,US,2,5,368,Western Gulf,29.08,-89.45,PET,oil and gas,"Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199",3,1949,1,-9999,3,W Delta 30 field found in 1949 and S. Pass 27 field in 1954,"Earth Sciences and Resources Institute, 1995",1.2
OF367PET,United States of Ameri,US,2,5,367,Western Gulf,29.12,-90.55,PET,oil and gas,"Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199",1,1945,1,1978,2,Caillou Island field discovered in 1930 - production at least since 1978 in Timbalier Bay field and that area,"Earth Sciences and Resources Institute, 1995 - National Academy of Sciences, 2003",1.2
OF366PET,United States of Ameri,US,2,5,366,Western Gulf,28.64,-95.18,PET,oil and gas,"Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199",3,1956,1,-9999,3,Vermilion 14 field found in 1956,"Earth Sciences and Resources Institute, 1995",1.2
OF371PET,United States of Ameri,US,2,5,371,Gulf Cenozoic OCS,28.21,-92.33,PET,oil and gas,"Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199",1,1949,1,-9999,3,Vermilion 39 field discovered in 1949,"Earth Sciences and Resources Institute, 1995 - Offshore Engineer, 2000",1.2
US091PET,United States of Ameri,US,2,5,91,Florida Peninsula,26.15,-81.36,PET,oil,"Petroleum Economist, 2003 - Klett et al., 1997",1,1945,1,1945,1,Sunniland field discovered in 1943 and came on stream in the same year,"Pollastro, 1995 - Museum of Florida History, 2003 - Petroleum Economist, 2003",1.2
US074PET,United States of Ameri,US,2,5,74,Western Gulf,29.55,-89.81,PET,oil and gas,"Earth Sciences and Resources Institute, 1995 - BrainyMedia.com, 2004 - Klett et al., 1997",3,1945,1,-9999,3,Bastian Bay field found in 1941,"Earth Sciences and Resources Institute, 1995",1.2
US073PET,United States of Ameri,US,2,5,73,Western Gulf,29.99,-89.72,PET,gas,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,gas fields - fields could not be identified due to the high concentration in that area - no further information available,"Petroleum Economist, 2003",1.2
US071PET,United States of Ameri,US,2,5,71,Louisiana-Mississippi Salt Ba,30.48,-87.63,PET,gas,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,gas field - field could not be identified due to the high concentration in that area - no further information available,"Petroleum Economist, 2003",1.2
US070PET,United States of Ameri,US,2,5,70,Louisiana-Mississippi Salt Ba,31.03,-87.20,PET,oil and gas,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,oil and gas fields - fields could not be identified due to the high concentration in that area - no further information available,"Petroleum Economist, 2003",1.2
US069PET,United States of Ameri,US,2,5,69,Louisiana-Mississippi Salt Ba,31.41,-88.19,PET,oil and gas,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,oil and gas fields - fields could not be identified due to the high concentration in that area - no further information available,"Petroleum Economist, 2003",1.2
